=== 4-Stage Progressive Fusion Hard-Mining Training Log ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.6471 | Train: 6.98% | ★Test: 9.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 109 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000938] -> Loss: 0.7105 | Train: 100.00% | ★Test: 75.37% | [G-Gate_Avg: 0.635 / L-Gate_Avg: 0.365]
Epoch 110 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000922] -> Loss: 0.7104 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 0.639 / L-Gate_Avg: 0.361]
Epoch 111 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000905] -> Loss: 0.7105 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.658 / L-Gate_Avg: 0.342]
Epoch 112 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000885] -> Loss: 0.7104 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.625 / L-Gate_Avg: 0.375]
Epoch 113 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000864] -> Loss: 0.7103 | Train: 100.00% | ★Test: 74.82% | [G-Gate_Avg: 0.654 / L-Gate_Avg: 0.346]
Epoch 114 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000842] -> Loss: 0.7102 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.648 / L-Gate_Avg: 0.352]
Epoch 115 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000819] -> Loss: 0.7102 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.636 / L-Gate_Avg: 0.364]
Epoch 116 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000794] -> Loss: 0.7102 | Train: 100.00% | ★Test: 75.55% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 117 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000768] -> Loss: 0.7100 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 0.632 / L-Gate_Avg: 0.368]
Epoch 118 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000741] -> Loss: 0.7102 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.644 / L-Gate_Avg: 0.356]
Epoch 119 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000713] -> Loss: 0.7100 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.635 / L-Gate_Avg: 0.365]
Epoch 120 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000684] -> Loss: 0.7101 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.633 / L-Gate_Avg: 0.367]
Epoch 121 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000655] -> Loss: 0.7100 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 122 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000624] -> Loss: 0.7100 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 0.637 / L-Gate_Avg: 0.363]
Epoch 123 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000594] -> Loss: 0.7100 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.644 / L-Gate_Avg: 0.356]
Epoch 124 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000563] -> Loss: 0.7100 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.640 / L-Gate_Avg: 0.360]
Epoch 125 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000531] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.639 / L-Gate_Avg: 0.361]
Epoch 126 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000500] -> Loss: 0.7099 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.632 / L-Gate_Avg: 0.368]
Epoch 127 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000469] -> Loss: 0.7099 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 128 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000437] -> Loss: 0.7099 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.638 / L-Gate_Avg: 0.362]
Epoch 129 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000406] -> Loss: 0.7100 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.640 / L-Gate_Avg: 0.360]
Epoch 130 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000376] -> Loss: 0.7098 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 131 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000345] -> Loss: 0.7100 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 132 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000316] -> Loss: 0.7101 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 133 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000287] -> Loss: 0.7100 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.642 / L-Gate_Avg: 0.358]
Epoch 134 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000259] -> Loss: 0.7099 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.640 / L-Gate_Avg: 0.360]
Epoch 135 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000232] -> Loss: 0.7097 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 136 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000206] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 137 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000181] -> Loss: 0.7099 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.640 / L-Gate_Avg: 0.360]
Epoch 138 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000158] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.639 / L-Gate_Avg: 0.361]
Epoch 139 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000136] -> Loss: 0.7097 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.642 / L-Gate_Avg: 0.358]
Epoch 140 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000115] -> Loss: 0.7099 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 141 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000095] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 142 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000078] -> Loss: 0.7098 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.642 / L-Gate_Avg: 0.358]
Epoch 143 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000062] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 144 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000048] -> Loss: 0.7097 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 145 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000035] -> Loss: 0.7097 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.644 / L-Gate_Avg: 0.356]
Epoch 146 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000024] -> Loss: 0.7098 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 147 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000016] -> Loss: 0.7096 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 148 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000009] -> Loss: 0.7097 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 149 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000004] -> Loss: 0.7098 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
Epoch 150 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000001] -> Loss: 0.7096 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 0.645 / L-Gate_Avg: 0.355]
⏰ [強制保存] 150エポック目（Stage-3終了時）のモデルを保存しました: model_epoch150.pth
Epoch 151 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000100 | Gt-LR: 0.000500] -> Loss: 0.7111 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.722 / L-Gate_Avg: 0.278]
Epoch 152 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000100 | Gt-LR: 0.000500] -> Loss: 0.7082 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.676 / L-Gate_Avg: 0.324]
Epoch 153 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000100 | Gt-LR: 0.000498] -> Loss: 0.7072 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.639 / L-Gate_Avg: 0.361]
Epoch 154 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000099 | Gt-LR: 0.000496] -> Loss: 0.7065 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 0.602 / L-Gate_Avg: 0.398]
Epoch 155 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000098 | Gt-LR: 0.000492] -> Loss: 0.7060 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 0.575 / L-Gate_Avg: 0.425]
Epoch 156 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000098 | Gt-LR: 0.000488] -> Loss: 0.7056 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 0.532 / L-Gate_Avg: 0.468]
Epoch 157 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000096 | Gt-LR: 0.000482] -> Loss: 0.7052 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.497 / L-Gate_Avg: 0.503]
Epoch 158 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000476] -> Loss: 0.7047 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 0.451 / L-Gate_Avg: 0.549]
Epoch 159 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000094 | Gt-LR: 0.000469] -> Loss: 0.7044 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 0.405 / L-Gate_Avg: 0.595]
Epoch 160 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000092 | Gt-LR: 0.000461] -> Loss: 0.7041 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.359 / L-Gate_Avg: 0.641]
Epoch 161 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000090 | Gt-LR: 0.000452] -> Loss: 0.7039 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.318 / L-Gate_Avg: 0.682]
Epoch 162 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000089 | Gt-LR: 0.000443] -> Loss: 0.7036 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.264 / L-Gate_Avg: 0.736]
Epoch 163 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000432] -> Loss: 0.7033 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.230 / L-Gate_Avg: 0.770]
Epoch 164 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000084 | Gt-LR: 0.000421] -> Loss: 0.7030 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 0.205 / L-Gate_Avg: 0.795]
Epoch 165 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000082 | Gt-LR: 0.000409] -> Loss: 0.7030 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 0.187 / L-Gate_Avg: 0.813]
Epoch 166 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000079 | Gt-LR: 0.000397] -> Loss: 0.7028 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.159 / L-Gate_Avg: 0.841]
Epoch 167 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000077 | Gt-LR: 0.000384] -> Loss: 0.7027 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.144 / L-Gate_Avg: 0.856]
Epoch 168 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000074 | Gt-LR: 0.000370] -> Loss: 0.7026 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.134 / L-Gate_Avg: 0.866]
Epoch 169 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000071 | Gt-LR: 0.000356] -> Loss: 0.7025 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.125 / L-Gate_Avg: 0.875]
Epoch 170 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000068 | Gt-LR: 0.000342] -> Loss: 0.7024 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.118 / L-Gate_Avg: 0.882]
Epoch 171 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000065 | Gt-LR: 0.000327] -> Loss: 0.7024 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 0.108 / L-Gate_Avg: 0.892]
Epoch 172 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000312] -> Loss: 0.7023 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.103 / L-Gate_Avg: 0.897]
Epoch 173 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000059 | Gt-LR: 0.000297] -> Loss: 0.7023 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.098 / L-Gate_Avg: 0.902]
Epoch 174 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000056 | Gt-LR: 0.000281] -> Loss: 0.7023 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.094 / L-Gate_Avg: 0.906]
Epoch 175 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000053 | Gt-LR: 0.000266] -> Loss: 0.7023 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.090 / L-Gate_Avg: 0.910]
Epoch 176 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000050 | Gt-LR: 0.000250] -> Loss: 0.7023 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.087 / L-Gate_Avg: 0.913]
Epoch 177 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000234] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.083 / L-Gate_Avg: 0.917]
Epoch 178 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000044 | Gt-LR: 0.000219] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.079 / L-Gate_Avg: 0.921]
Epoch 179 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000203] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.078 / L-Gate_Avg: 0.922]
Epoch 180 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000038 | Gt-LR: 0.000188] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.076 / L-Gate_Avg: 0.924]
Epoch 181 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000035 | Gt-LR: 0.000173] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.074 / L-Gate_Avg: 0.926]
Epoch 182 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000032 | Gt-LR: 0.000158] -> Loss: 0.7022 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.072 / L-Gate_Avg: 0.928]
Epoch 183 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000144] -> Loss: 0.7022 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.069 / L-Gate_Avg: 0.931]
Epoch 184 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000026 | Gt-LR: 0.000130] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.070 / L-Gate_Avg: 0.930]
Epoch 185 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000116] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.069 / L-Gate_Avg: 0.931]
Epoch 186 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000021 | Gt-LR: 0.000103] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.068 / L-Gate_Avg: 0.932]
Epoch 187 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000018 | Gt-LR: 0.000091] -> Loss: 0.7022 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.066 / L-Gate_Avg: 0.934]
Epoch 188 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000016 | Gt-LR: 0.000079] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.065 / L-Gate_Avg: 0.935]
Epoch 189 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000068] -> Loss: 0.7022 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.065 / L-Gate_Avg: 0.935]
Epoch 190 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000057] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 0.064 / L-Gate_Avg: 0.936]
Epoch 191 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000010 | Gt-LR: 0.000048] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.063 / L-Gate_Avg: 0.937]
Epoch 192 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000008 | Gt-LR: 0.000039] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.062 / L-Gate_Avg: 0.938]
Epoch 193 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000006 | Gt-LR: 0.000031] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.062 / L-Gate_Avg: 0.938]
Epoch 194 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000024] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.062 / L-Gate_Avg: 0.938]
Epoch 195 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000004 | Gt-LR: 0.000018] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.062 / L-Gate_Avg: 0.938]
Epoch 196 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000002 | Gt-LR: 0.000012] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.062 / L-Gate_Avg: 0.938]
Epoch 197 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000002 | Gt-LR: 0.000008] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 0.061 / L-Gate_Avg: 0.939]
Epoch 198 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000004] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.061 / L-Gate_Avg: 0.939]
Epoch 199 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000002] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.061 / L-Gate_Avg: 0.939]
Epoch 200 [STAGE-4 (Local&Gate-Synch) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7021 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 0.061 / L-Gate_Avg: 0.939]
⏰ [強制保存] 200エポック目（最終ステージ終了時）のモデルを保存しました: model_epoch200.pth
